points,item,team,role,opponent
0,Arcane Adrenaline,Excel Esports,top,G2 Esports
0,Arcane Explosive,Excel Esports,top,G2 Esports
0,Beast Hunter,Excel Esports,top,G2 Esports
0,Being of Light,Excel Esports,top,G2 Esports
14,Berseker Ax,Excel Esports,top,G2 Esports
0,Collecting Hammer,Excel Esports,top,G2 Esports
0,Colossal Mace,Excel Esports,top,G2 Esports
0,Conquering Staff,Excel Esports,top,G2 Esports
0,Crown of the Dwarf King,Excel Esports,top,G2 Esports
8,Dance of Death,Excel Esports,top,G2 Esports
0,Death Helper,Excel Esports,top,G2 Esports
0,Demon Claws,Excel Esports,top,G2 Esports
0,Divine Ascent,Excel Esports,top,G2 Esports
0,Divine Impetu,Excel Esports,top,G2 Esports
0,Elemental Discharge,Excel Esports,top,G2 Esports
16,Equivalent Totem,Excel Esports,top,G2 Esports
0,Fast Furious Blade,Excel Esports,top,G2 Esports
0,Final Asteroid,Excel Esports,top,G2 Esports
2,Guardian Totem,Excel Esports,top,G2 Esports
0,Hawk's Eye,Excel Esports,top,G2 Esports
0,Heavenly Vision,Excel Esports,top,G2 Esports
0,Holy Sword,Excel Esports,top,G2 Esports
0,Huntress of Souls,Excel Esports,top,G2 Esports
0,Immortal Breastplate,Excel Esports,top,G2 Esports
0,Imperious Gauntlet,Excel Esports,top,G2 Esports
3,Incapacitor,Excel Esports,top,G2 Esports
0,Legend Aura,Excel Esports,top,G2 Esports
0,Magnetic Disintegrator,Excel Esports,top,G2 Esports
0,Meteorites,Excel Esports,top,G2 Esports
0,Obsidian Battle Plate,Excel Esports,top,G2 Esports
0,Omnipresent Amulet,Excel Esports,top,G2 Esports
0,Omnipresent Spirit,Excel Esports,top,G2 Esports
15,Perfect Scythe,Excel Esports,top,G2 Esports
0,Precise Hammer,Excel Esports,top,G2 Esports
0,Rampage Momentum,Excel Esports,top,G2 Esports
0,Rock Tomb,Excel Esports,top,G2 Esports
0,Sacred Help,Excel Esports,top,G2 Esports
0,Savage Looter,Excel Esports,top,G2 Esports
12,Scythe,Excel Esports,top,G2 Esports
0,Secret Scroll,Excel Esports,top,G2 Esports
15,Sharp Blade,Excel Esports,top,G2 Esports
0,Siege Mace,Excel Esports,top,G2 Esports
15,Soul Hunter,Excel Esports,top,G2 Esports
3,Spirit of the Squire,Excel Esports,top,G2 Esports
0,Spirit of the Warrior,Excel Esports,top,G2 Esports
0,Staff of Conquered Worlds,Excel Esports,top,G2 Esports
0,Steel Aura,Excel Esports,top,G2 Esports
17,Swords of Darkness,Excel Esports,top,G2 Esports
0,The Puppeteer,Excel Esports,top,G2 Esports
0,The Stalker,Excel Esports,top,G2 Esports
0,The Visionary,Excel Esports,top,G2 Esports
0,Thirsty Dagger,Excel Esports,top,G2 Esports
0,Thirsty Scythes,Excel Esports,top,G2 Esports
0,Treasurer's Wisdom,Excel Esports,top,G2 Esports
0,Trimeteor,Excel Esports,top,G2 Esports
0,Unstoppable Lightning,Excel Esports,top,G2 Esports
0,Versatil Saber,Excel Esports,top,G2 Esports
1,Wild Claw,Excel Esports,top,G2 Esports
0,Wild Spirit,Excel Esports,top,G2 Esports
0,Arcane Adrenaline,Excel Esports,jungle,G2 Esports
0,Arcane Explosive,Excel Esports,jungle,G2 Esports
0,Beast Hunter,Excel Esports,jungle,G2 Esports
0,Being of Light,Excel Esports,jungle,G2 Esports
0,Berseker Ax,Excel Esports,jungle,G2 Esports
0,Collecting Hammer,Excel Esports,jungle,G2 Esports
0,Colossal Mace,Excel Esports,jungle,G2 Esports
24,Conquering Staff,Excel Esports,jungle,G2 Esports
0,Crown of the Dwarf King,Excel Esports,jungle,G2 Esports
0,Dance of Death,Excel Esports,jungle,G2 Esports
0,Death Helper,Excel Esports,jungle,G2 Esports
0,Demon Claws,Excel Esports,jungle,G2 Esports
0,Divine Ascent,Excel Esports,jungle,G2 Esports
0,Divine Impetu,Excel Esports,jungle,G2 Esports
0,Elemental Discharge,Excel Esports,jungle,G2 Esports
13,Equivalent Totem,Excel Esports,jungle,G2 Esports
0,Fast Furious Blade,Excel Esports,jungle,G2 Esports
0,Final Asteroid,Excel Esports,jungle,G2 Esports
2,Guardian Totem,Excel Esports,jungle,G2 Esports
0,Hawk's Eye,Excel Esports,jungle,G2 Esports
0,Heavenly Vision,Excel Esports,jungle,G2 Esports
0,Holy Sword,Excel Esports,jungle,G2 Esports
0,Huntress of Souls,Excel Esports,jungle,G2 Esports
0,Immortal Breastplate,Excel Esports,jungle,G2 Esports
0,Imperious Gauntlet,Excel Esports,jungle,G2 Esports
15,Incapacitor,Excel Esports,jungle,G2 Esports
0,Legend Aura,Excel Esports,jungle,G2 Esports
0,Magnetic Disintegrator,Excel Esports,jungle,G2 Esports
0,Meteorites,Excel Esports,jungle,G2 Esports
0,Obsidian Battle Plate,Excel Esports,jungle,G2 Esports
0,Omnipresent Amulet,Excel Esports,jungle,G2 Esports
0,Omnipresent Spirit,Excel Esports,jungle,G2 Esports
0,Perfect Scythe,Excel Esports,jungle,G2 Esports
0,Precise Hammer,Excel Esports,jungle,G2 Esports
0,Rampage Momentum,Excel Esports,jungle,G2 Esports
0,Rock Tomb,Excel Esports,jungle,G2 Esports
0,Sacred Help,Excel Esports,jungle,G2 Esports
0,Savage Looter,Excel Esports,jungle,G2 Esports
8,Scythe,Excel Esports,jungle,G2 Esports
0,Secret Scroll,Excel Esports,jungle,G2 Esports
0,Sharp Blade,Excel Esports,jungle,G2 Esports
0,Siege Mace,Excel Esports,jungle,G2 Esports
0,Soul Hunter,Excel Esports,jungle,G2 Esports
6,Spirit of the Squire,Excel Esports,jungle,G2 Esports
0,Spirit of the Warrior,Excel Esports,jungle,G2 Esports
0,Staff of Conquered Worlds,Excel Esports,jungle,G2 Esports
0,Steel Aura,Excel Esports,jungle,G2 Esports
0,Swords of Darkness,Excel Esports,jungle,G2 Esports
0,The Puppeteer,Excel Esports,jungle,G2 Esports
0,The Stalker,Excel Esports,jungle,G2 Esports
0,The Visionary,Excel Esports,jungle,G2 Esports
0,Thirsty Dagger,Excel Esports,jungle,G2 Esports
0,Thirsty Scythes,Excel Esports,jungle,G2 Esports
0,Treasurer's Wisdom,Excel Esports,jungle,G2 Esports
0,Trimeteor,Excel Esports,jungle,G2 Esports
0,Unstoppable Lightning,Excel Esports,jungle,G2 Esports
0,Versatil Saber,Excel Esports,jungle,G2 Esports
13,Wild Claw,Excel Esports,jungle,G2 Esports
0,Wild Spirit,Excel Esports,jungle,G2 Esports
0,Arcane Adrenaline,Excel Esports,mid,G2 Esports
0,Arcane Explosive,Excel Esports,mid,G2 Esports
0,Beast Hunter,Excel Esports,mid,G2 Esports
0,Being of Light,Excel Esports,mid,G2 Esports
14,Berseker Ax,Excel Esports,mid,G2 Esports
0,Collecting Hammer,Excel Esports,mid,G2 Esports
0,Colossal Mace,Excel Esports,mid,G2 Esports
0,Conquering Staff,Excel Esports,mid,G2 Esports
0,Crown of the Dwarf King,Excel Esports,mid,G2 Esports
0,Dance of Death,Excel Esports,mid,G2 Esports
0,Death Helper,Excel Esports,mid,G2 Esports
17,Demon Claws,Excel Esports,mid,G2 Esports
0,Divine Ascent,Excel Esports,mid,G2 Esports
0,Divine Impetu,Excel Esports,mid,G2 Esports
0,Elemental Discharge,Excel Esports,mid,G2 Esports
17,Equivalent Totem,Excel Esports,mid,G2 Esports
16,Fast Furious Blade,Excel Esports,mid,G2 Esports
0,Final Asteroid,Excel Esports,mid,G2 Esports
5,Guardian Totem,Excel Esports,mid,G2 Esports
0,Hawk's Eye,Excel Esports,mid,G2 Esports
0,Heavenly Vision,Excel Esports,mid,G2 Esports
0,Holy Sword,Excel Esports,mid,G2 Esports
19,Huntress of Souls,Excel Esports,mid,G2 Esports
0,Immortal Breastplate,Excel Esports,mid,G2 Esports
0,Imperious Gauntlet,Excel Esports,mid,G2 Esports
3,Incapacitor,Excel Esports,mid,G2 Esports
0,Legend Aura,Excel Esports,mid,G2 Esports
0,Magnetic Disintegrator,Excel Esports,mid,G2 Esports
0,Meteorites,Excel Esports,mid,G2 Esports
0,Obsidian Battle Plate,Excel Esports,mid,G2 Esports
0,Omnipresent Amulet,Excel Esports,mid,G2 Esports
0,Omnipresent Spirit,Excel Esports,mid,G2 Esports
0,Perfect Scythe,Excel Esports,mid,G2 Esports
0,Precise Hammer,Excel Esports,mid,G2 Esports
0,Rampage Momentum,Excel Esports,mid,G2 Esports
0,Rock Tomb,Excel Esports,mid,G2 Esports
0,Sacred Help,Excel Esports,mid,G2 Esports
0,Savage Looter,Excel Esports,mid,G2 Esports
16,Scythe,Excel Esports,mid,G2 Esports
0,Secret Scroll,Excel Esports,mid,G2 Esports
9,Sharp Blade,Excel Esports,mid,G2 Esports
0,Siege Mace,Excel Esports,mid,G2 Esports
0,Soul Hunter,Excel Esports,mid,G2 Esports
3,Spirit of the Squire,Excel Esports,mid,G2 Esports
0,Spirit of the Warrior,Excel Esports,mid,G2 Esports
0,Staff of Conquered Worlds,Excel Esports,mid,G2 Esports
0,Steel Aura,Excel Esports,mid,G2 Esports
0,Swords of Darkness,Excel Esports,mid,G2 Esports
0,The Puppeteer,Excel Esports,mid,G2 Esports
0,The Stalker,Excel Esports,mid,G2 Esports
0,The Visionary,Excel Esports,mid,G2 Esports
0,Thirsty Dagger,Excel Esports,mid,G2 Esports
0,Thirsty Scythes,Excel Esports,mid,G2 Esports
0,Treasurer's Wisdom,Excel Esports,mid,G2 Esports
0,Trimeteor,Excel Esports,mid,G2 Esports
0,Unstoppable Lightning,Excel Esports,mid,G2 Esports
0,Versatil Saber,Excel Esports,mid,G2 Esports
1,Wild Claw,Excel Esports,mid,G2 Esports
0,Wild Spirit,Excel Esports,mid,G2 Esports
0,Arcane Adrenaline,Excel Esports,bot,G2 Esports
0,Arcane Explosive,Excel Esports,bot,G2 Esports
0,Beast Hunter,Excel Esports,bot,G2 Esports
0,Being of Light,Excel Esports,bot,G2 Esports
14,Berseker Ax,Excel Esports,bot,G2 Esports
12,Collecting Hammer,Excel Esports,bot,G2 Esports
0,Colossal Mace,Excel Esports,bot,G2 Esports
0,Conquering Staff,Excel Esports,bot,G2 Esports
0,Crown of the Dwarf King,Excel Esports,bot,G2 Esports
0,Dance of Death,Excel Esports,bot,G2 Esports
0,Death Helper,Excel Esports,bot,G2 Esports
0,Demon Claws,Excel Esports,bot,G2 Esports
0,Divine Ascent,Excel Esports,bot,G2 Esports
0,Divine Impetu,Excel Esports,bot,G2 Esports
0,Elemental Discharge,Excel Esports,bot,G2 Esports
14,Equivalent Totem,Excel Esports,bot,G2 Esports
0,Fast Furious Blade,Excel Esports,bot,G2 Esports
0,Final Asteroid,Excel Esports,bot,G2 Esports
3,Guardian Totem,Excel Esports,bot,G2 Esports
0,Hawk's Eye,Excel Esports,bot,G2 Esports
0,Heavenly Vision,Excel Esports,bot,G2 Esports
0,Holy Sword,Excel Esports,bot,G2 Esports
0,Huntress of Souls,Excel Esports,bot,G2 Esports
0,Immortal Breastplate,Excel Esports,bot,G2 Esports
0,Imperious Gauntlet,Excel Esports,bot,G2 Esports
3,Incapacitor,Excel Esports,bot,G2 Esports
0,Legend Aura,Excel Esports,bot,G2 Esports
0,Magnetic Disintegrator,Excel Esports,bot,G2 Esports
0,Meteorites,Excel Esports,bot,G2 Esports
0,Obsidian Battle Plate,Excel Esports,bot,G2 Esports
0,Omnipresent Amulet,Excel Esports,bot,G2 Esports
0,Omnipresent Spirit,Excel Esports,bot,G2 Esports
0,Perfect Scythe,Excel Esports,bot,G2 Esports
0,Precise Hammer,Excel Esports,bot,G2 Esports
0,Rampage Momentum,Excel Esports,bot,G2 Esports
0,Rock Tomb,Excel Esports,bot,G2 Esports
0,Sacred Help,Excel Esports,bot,G2 Esports
0,Savage Looter,Excel Esports,bot,G2 Esports
12,Scythe,Excel Esports,bot,G2 Esports
0,Secret Scroll,Excel Esports,bot,G2 Esports
3,Sharp Blade,Excel Esports,bot,G2 Esports
0,Siege Mace,Excel Esports,bot,G2 Esports
0,Soul Hunter,Excel Esports,bot,G2 Esports
3,Spirit of the Squire,Excel Esports,bot,G2 Esports
