item_points,item,team,role,opponent,score
16,Arcane Adrenaline,BDS Academy,top,LDLC OL,9
0,Arcane Explosive,BDS Academy,top,LDLC OL,9
0,Beast Hunter,BDS Academy,top,LDLC OL,9
0,Being of Light,BDS Academy,top,LDLC OL,9
14,Berseker Ax,BDS Academy,top,LDLC OL,9
0,Collecting Hammer,BDS Academy,top,LDLC OL,9
0,Colossal Mace,BDS Academy,top,LDLC OL,9
0,Conquering Staff,BDS Academy,top,LDLC OL,9
0,Crown of the Dwarf King,BDS Academy,top,LDLC OL,9
0,Dance of Death,BDS Academy,top,LDLC OL,9
0,Death Helper,BDS Academy,top,LDLC OL,9
0,Demon Claws,BDS Academy,top,LDLC OL,9
25,Divine Ascent,BDS Academy,top,LDLC OL,9
0,,BDS Academy,top,LDLC OL,9
0,Elemental Discharge,BDS Academy,top,LDLC OL,9
18,Equivalent Totem,BDS Academy,top,LDLC OL,9
0,Fast Furious Blade,BDS Academy,top,LDLC OL,9
0,Final Asteroid,BDS Academy,top,LDLC OL,9
4,Guardian Totem,BDS Academy,top,LDLC OL,9
0,Hawk's Eye,BDS Academy,top,LDLC OL,9
0,Heavenly Vision,BDS Academy,top,LDLC OL,9
0,Holy Sword,BDS Academy,top,LDLC OL,9
0,Huntress of Souls,BDS Academy,top,LDLC OL,9
0,Immortal Breastplate,BDS Academy,top,LDLC OL,9
0,Imperious Gauntlet,BDS Academy,top,LDLC OL,9
0,Incapacitor,BDS Academy,top,LDLC OL,9
0,Legend Aura,BDS Academy,top,LDLC OL,9
0,Magnetic Disintegrator,BDS Academy,top,LDLC OL,9
0,Meteorites,BDS Academy,top,LDLC OL,9
20,Obsidian Battle Plate,BDS Academy,top,LDLC OL,9
0,Omnipresent Amulet,BDS Academy,top,LDLC OL,9
0,Omnipresent Spirit,BDS Academy,top,LDLC OL,9
0,Perfect Scythe,BDS Academy,top,LDLC OL,9
0,Precise Hammer,BDS Academy,top,LDLC OL,9
0,Rampage Momentum,BDS Academy,top,LDLC OL,9
0,Rock Tomb,BDS Academy,top,LDLC OL,9
0,Sacred Help,BDS Academy,top,LDLC OL,9
0,Savage Looter,BDS Academy,top,LDLC OL,9
19,Scythe,BDS Academy,top,LDLC OL,9
0,Secret Scroll,BDS Academy,top,LDLC OL,9
3,Sharp Blade,BDS Academy,top,LDLC OL,9
0,Siege Mace,BDS Academy,top,LDLC OL,9
0,Soul Hunter,BDS Academy,top,LDLC OL,9
6,Spirit of the Squire,BDS Academy,top,LDLC OL,9
0,Spirit of the Warrior,BDS Academy,top,LDLC OL,9
0,Staff of Conquered Worlds,BDS Academy,top,LDLC OL,9
0,Steel Aura,BDS Academy,top,LDLC OL,9
0,Swords of Darkness,BDS Academy,top,LDLC OL,9
0,The Puppeteer,BDS Academy,top,LDLC OL,9
0,The Stalker,BDS Academy,top,LDLC OL,9
0,The Visionary,BDS Academy,top,LDLC OL,9
0,Thirsty Dagger,BDS Academy,top,LDLC OL,9
25,Thirsty Scythes,BDS Academy,top,LDLC OL,9
17,Treasurer's Wisdom,BDS Academy,top,LDLC OL,9
0,Trimeteor,BDS Academy,top,LDLC OL,9
0,Unstoppable Lightning,BDS Academy,top,LDLC OL,9
0,Versatil Saber,BDS Academy,top,LDLC OL,9
0,Wild Claw,BDS Academy,top,LDLC OL,9
0,Wild Spirit,BDS Academy,top,LDLC OL,9
0,Arcane Adrenaline,BDS Academy,jungle,LDLC OL,24
0,Arcane Explosive,BDS Academy,jungle,LDLC OL,24
18,Beast Hunter,BDS Academy,jungle,LDLC OL,24
0,Being of Light,BDS Academy,jungle,LDLC OL,24
0,Berseker Ax,BDS Academy,jungle,LDLC OL,24
12,Collecting Hammer,BDS Academy,jungle,LDLC OL,24
0,Colossal Mace,BDS Academy,jungle,LDLC OL,24
24,Conquering Staff,BDS Academy,jungle,LDLC OL,24
0,Crown of the Dwarf King,BDS Academy,jungle,LDLC OL,24
0,Dance of Death,BDS Academy,jungle,LDLC OL,24
0,Death Helper,BDS Academy,jungle,LDLC OL,24
0,Demon Claws,BDS Academy,jungle,LDLC OL,24
0,Divine Ascent,BDS Academy,jungle,LDLC OL,24
